Número Emenda,Data Criação,Município,CNPJ,Nome Responsável,Cargo Responsável,LOA 2026 Check,Âmbito,Tipo Emenda,Tipo Emenda Outro,Fundamento Legal,Autor,Número Emenda,Objeto,Finalidade,Função,Destinação,Órgão Beneficiário,Localidade Beneficiada,Instrumento Jurídico,Possui Cronograma,Prazo Aplicação,Valor,Valor Autorizado,% RCL,Conta Específica,Número Conta,Portal Transparência Check,Divulgação Tempo Real,Link Portal,Monitoramento Check,Status,Prioridade,Latitude,Longitude,Categoria,Fornecedor,Número Licitação,Código de Aplicação,Código Aplicação Variável,SubFunção
099.09.12.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Francisca Jenilúcia Ribeiro de Andrade,099.09.12.2026,"Incentivar através do esporte integração entre as comunidades, tirando do ócio e promovendo qualidade de vida",,27,Custeio,"GABINETE DA SECRETARIA DE ESPORTE, LAZER E RECREAÇ",,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"36.668,85","36.668,85","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,27,,,804,0112,812
099.12.12.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Guilherme de Prado Souza,099.12.12.2026,"Incentivar através do esporte integração entre as comunidades, tirando do ócio e promovendo qualidade de vida",,27,Custeio,"GABINETE DA SECRETARIA DE ESPORTE, LAZER E RECREAÇ",,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"100.000,00","100.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,27,,,804,0164,812
102.01.02.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Alexandre de Jesus Capriotti,102.01.02.2026,"Contribuir no desenvolvimento de projetos sociais para melhorar a qualidade de vida dos segmentos mais carentes da população osasquense, visando ao resgate da dignidade da pessoa humana",,08,Custeio,FUNDO SOCIAL DE SOLIDARIEDADE,,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"20.000,00","20.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,8,,,804,0001,244
102.02.02.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Batista de Sousa Moreira,102.02.02.2026,"Contribuir no desenvolvimento de projetos sociais para melhorar a qualidade de vida dos segmentos mais carentes da população osasquense, visando ao resgate da dignidade da pessoa humana",,08,Custeio,FUNDO SOCIAL DE SOLIDARIEDADE,,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"20.000,00","20.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,8,,,804,0024,244
102.03.02.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Carmônio Gonçalves Bastos,102.03.02.2026,"Contribuir no desenvolvimento de projetos sociais para melhorar a qualidade de vida dos segmentos mais carentes da população osasquense, visando ao resgate da dignidade da pessoa humana",,08,Custeio,FUNDO SOCIAL DE SOLIDARIEDADE,,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"40.000,00","40.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,8,,,804,0032,244
102.06.02.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Elsa Natal de Oliveira,102.06.02.2026,"Contribuir no desenvolvimento de projetos sociais para melhorar a qualidade de vida dos segmentos mais carentes da população osasquense, visando ao resgate da dignidade da pessoa humana",,08,Custeio,FUNDO SOCIAL DE SOLIDARIEDADE,,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"20.000,00","20.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,8,,,804,0076,244
102.08.02.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Fabio Chirinhan,102.08.02.2026,"Contribuir no desenvolvimento de projetos sociais para melhorar a qualidade de vida dos segmentos mais carentes da população osasquense, visando ao resgate da dignidade da pessoa humana",,08,Custeio,FUNDO SOCIAL DE SOLIDARIEDADE,,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"20.000,00","20.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,8,,,804,0095,244
102.10.02.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Gabriel de Paula Barbosa,102.10.02.2026,"Contribuir no desenvolvimento de projetos sociais para melhorar a qualidade de vida dos segmentos mais carentes da população osasquense, visando ao resgate da dignidade da pessoa humana",,08,Custeio,FUNDO SOCIAL DE SOLIDARIEDADE,,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"30.000,00","30.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,8,,,804,0125,244
102.11.02.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Gilmeiron Medeiros,102.11.02.2026,"Contribuir no desenvolvimento de projetos sociais para melhorar a qualidade de vida dos segmentos mais carentes da população osasquense, visando ao resgate da dignidade da pessoa humana",,08,Custeio,FUNDO SOCIAL DE SOLIDARIEDADE,,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"20.000,00","20.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,8,,,804,0141,244
102.12.02.2026,,PREFEITURA DO MUNICÍPIO DE OSASCO,46.523.171/0001-04,,,Sim,Municipal,Emendas de bancada/bloco,,Decreto 14551/2025 / Lei 13019/ 2014 /Substitutivo 10/2025 ao Projeto de Lei 200/2152,Guilherme de Prado Souza,102.12.02.2026,"Contribuir no desenvolvimento de projetos sociais para melhorar a qualidade de vida dos segmentos mais carentes da população osasquense, visando ao resgate da dignidade da pessoa humana",,08,Custeio,FUNDO SOCIAL DE SOLIDARIEDADE,,,Ainda não tem processo administrativo aberto por estar em fase inicial,31/12/2026,"20.000,00","20.000,00","1,20%",Sim,113143-5,sim,sim,,,elaboração,,,,8,,,804,0165,244
